Voter_ID,Age,Gender,State,Constituency,Income_Level,Voted_Party,Turnout,Employment_Status,Education_Level,Date
1050,59,Male,Bihar,Patna Urban,Medium,Party B,No,Employed,Postgraduate,2019-04-12
1051,64,Female,Maharashtra,Nagpur,Medium,Party A,Yes,Employed,Secondary,2019-04-22
1052,64,Other,Maharashtra,Pune,High,Party C,No,Unemployed,Graduate,2019-04-14
1053,31,Male,Tamil Nadu,Chennai Central,High,Party C,Yes,Employed,Secondary,2019-04-13
1054,27,Other,Tamil Nadu,Chennai Central,High,Party B,No,Student,Secondary,2019-05-05
1055,34,Male,Kerala,Kochi,Medium,Party C,No,Self-employed,Graduate,2019-04-29
1056,26,Female,Bihar,Gaya,Medium,Party C,Yes,Unemployed,Graduate,2019-05-15
1057,23,Other,Kerala,Thiruvananthapuram,Low,Party C,Yes,Student,Postgraduate,2019-05-14
1058,74,Other,Bihar,Patna Urban,Medium,Party C,No,Student,Graduate,2019-04-14
1059,38,Other,Kerala,Kochi,Low,Party C,Yes,Student,Graduate,2019-04-20
1060,52,Other,Kerala,Thiruvananthapuram,Low,Party A,Yes,Employed,Secondary,2019-04-19
1061,36,Female,Bihar,Muzaffarpur,Low,Party B,Yes,Unemployed,Secondary,2019-05-05
1062,62,Other,Bihar,Patna Urban,High,Party B,No,Employed,Graduate,2019-05-17
1063,55,Female,Kerala,Thiruvananthapuram,Low,Party C,Yes,Self-employed,Secondary,2019-05-17
1064,50,Male,Maharashtra,Mumbai South,High,Party C,Yes,Student,Graduate,2019-05-26
1065,46,Female,Kerala,Thiruvananthapuram,Medium,Party A,No,Unemployed,Postgraduate,2019-04-15
1066,36,Female,Tamil Nadu,Madurai,Low,Party B,Yes,Student,Secondary,2019-05-23
1067,80,Other,Kerala,Kochi,Low,Party C,No,Employed,Graduate,2019-04-11
1068,42,Male,Kerala,Thiruvananthapuram,Low,Party A,No,Unemployed,Postgraduate,2019-05-29
1069,85,Male,Tamil Nadu,Chennai Central,High,Party A,Yes,Student,Postgraduate,2019-04-02
1070,23,Male,Bihar,Patna Urban,Low,Party A,No,Unemployed,Primary,2019-05-21
1071,61,Other,Bihar,Patna Urban,Low,Party A,Yes,Student,Postgraduate,2019-05-23
1072,60,Female,Kerala,Thiruvananthapuram,Low,Party A,Yes,Self-employed,Primary,2019-04-02
1073,55,Male,Bihar,Patna Urban,High,Party B,Yes,Employed,Secondary,2019-04-02
1074,67,Male,Kerala,Thiruvananthapuram,Medium,Party C,No,Unemployed,Postgraduate,2019-05-14
1075,39,Male,Bihar,Gaya,Low,Party A,No,Self-employed,Primary,2019-05-10
1076,64,Male,Maharashtra,Mumbai South,Low,Party C,Yes,Unemployed,Postgraduate,2019-05-04
1077,41,Other,Maharashtra,Pune,Medium,Party A,No,Self-employed,Graduate,2019-05-27
1078,81,Other,Bihar,Gaya,Medium,Party B,Yes,Employed,Secondary,2019-05-20
1079,36,Female,Kerala,Thiruvananthapuram,Medium,Party C,No,Employed,Primary,2019-05-07
1080,53,Male,Tamil Nadu,Coimbatore,Low,Party B,Yes,Unemployed,Postgraduate,2019-04-23
1081,72,Female,Maharashtra,Nagpur,High,Party B,No,Unemployed,Secondary,2019-04-25
1082,81,Other,Tamil Nadu,Coimbatore,High,Party B,Yes,Student,Primary,2019-05-08
1083,46,Other,Tamil Nadu,Coimbatore,Low,Party A,No,Employed,Secondary,2019-05-25
1084,78,Male,Bihar,Gaya,Low,Party A,No,Self-employed,Secondary,2019-04-19
1085,71,Male,Tamil Nadu,Chennai Central,Low,Party A,Yes,Unemployed,Primary,2019-05-15
1086,21,Other,Kerala,Thiruvananthapuram,Medium,Party B,Yes,Employed,Primary,2019-05-01
1087,36,Female,Kerala,Kochi,Low,Party A,Yes,Employed,Primary,2019-05-07
1088,41,Female,Tamil Nadu,Chennai Central,High,Party A,No,Student,Postgraduate,2019-05-17
1089,19,Female,Maharashtra,Nagpur,Low,Party A,Yes,Employed,Secondary,2019-05-03
1090,68,Female,Kerala,Kochi,High,Party B,No,Self-employed,Secondary,2019-04-28
1091,29,Other,Kerala,Thiruvananthapuram,Medium,Party A,Yes,Student,Primary,2019-04-15
1092,27,Other,Tamil Nadu,Chennai Central,Medium,Party B,No,Student,Postgraduate,2019-04-11
1093,72,Male,Bihar,Gaya,Medium,Party A,Yes,Employed,Graduate,2019-05-09
1094,48,Female,Maharashtra,Mumbai South,Low,Party C,Yes,Employed,Secondary,2019-05-09
1095,42,Other,Bihar,Gaya,Low,Party C,Yes,Unemployed,Graduate,2019-04-06
1096,79,Male,Bihar,Muzaffarpur,Low,Party B,Yes,Self-employed,Primary,2019-04-23
1097,82,Male,Maharashtra,Nagpur,Medium,Party B,No,Unemployed,Primary,2019-04-22
1098,82,Male,Tamil Nadu,Coimbatore,High,Party A,Yes,Student,Postgraduate,2019-05-08
1099,38,Male,Bihar,Gaya,High,Party B,Yes,Employed,Secondary,2019-05-27
1100,36,Other,Kerala,Kozhikode,Low,Party C,No,Student,Secondary,2019-04-22
1101,73,Male,Maharashtra,Nagpur,High,Party C,No,Unemployed,Secondary,2019-05-10
1102,81,Male,Bihar,Patna Urban,Low,Party A,No,Employed,Postgraduate,2019-04-07
1103,39,Female,Tamil Nadu,Madurai,Low,Party A,No,Self-employed,Graduate,2019-04-06
1104,76,Female,Bihar,Patna Urban,Medium,Party B,No,Unemployed,Primary,2019-05-07
1105,64,Female,Tamil Nadu,Chennai Central,Medium,Party B,Yes,Student,Graduate,2019-05-03
1106,28,Other,Maharashtra,Nagpur,Medium,Party C,No,Self-employed,Primary,2019-05-10
1107,49,Other,Bihar,Muzaffarpur,High,Party A,Yes,Employed,Graduate,2019-04-25
1108,69,Male,Kerala,Kozhikode,Low,Party B,No,Employed,Graduate,2019-04-30
1109,77,Male,Tamil Nadu,Coimbatore,Low,Party A,Yes,Student,Postgraduate,2019-04-13
1110,26,Female,Tamil Nadu,Madurai,Medium,Party C,No,Unemployed,Postgraduate,2019-04-08
1111,22,Other,Maharashtra,Nagpur,Low,Party B,Yes,Unemployed,Graduate,2019-05-07
1112,66,Male,Bihar,Muzaffarpur,Medium,Party B,No,Unemployed,Primary,2019-04-14
1113,72,Female,Bihar,Muzaffarpur,Medium,Party C,Yes,Employed,Secondary,2019-04-05
1114,28,Female,Maharashtra,Nagpur,High,Party B,No,Unemployed,Graduate,2019-04-12
1115,72,Female,Bihar,Patna Urban,Medium,Party A,Yes,Self-employed,Postgraduate,2019-05-01
1116,38,Other,Tamil Nadu,Coimbatore,Medium,Party B,No,Employed,Secondary,2019-04-05
1117,58,Male,Kerala,Thiruvananthapuram,Low,Party B,Yes,Student,Graduate,2019-04-08
1118,84,Other,Tamil Nadu,Madurai,Low,Party B,Yes,Student,Primary,2019-04-03
1119,42,Female,Kerala,Kozhikode,High,Party C,Yes,Student,Secondary,2019-04-23
1120,19,Female,Kerala,Kochi,Medium,Party A,No,Self-employed,Primary,2019-05-15
1121,76,Female,Tamil Nadu,Coimbatore,Medium,Party B,No,Student,Graduate,2019-04-08
1122,72,Female,Kerala,Thiruvananthapuram,Low,Party C,Yes,Student,Postgraduate,2019-04-19
1123,54,Other,Tamil Nadu,Coimbatore,High,Party A,Yes,Employed,Primary,2019-05-12
1124,70,Male,Bihar,Muzaffarpur,Medium,Party C,Yes,Student,Primary,2019-05-13
1125,45,Male,Maharashtra,Nagpur,Medium,Party C,No,Employed,Secondary,2019-05-25
1126,62,Female,Tamil Nadu,Chennai Central,Medium,Party C,No,Employed,Graduate,2019-05-21
1127,54,Female,Kerala,Kozhikode,High,Party B,No,Student,Secondary,2019-04-01
1128,19,Male,Tamil Nadu,Chennai Central,Low,Party B,No,Self-employed,Secondary,2019-05-07
1129,68,Male,Tamil Nadu,Chennai Central,High,Party C,No,Employed,Postgraduate,2019-04-09
1130,40,Female,Tamil Nadu,Coimbatore,Medium,Party C,Yes,Student,Secondary,2019-04-07
1131,33,Other,Kerala,Kozhikode,High,Party B,No,Unemployed,Graduate,2019-04-14
1132,21,Female,Bihar,Patna Urban,Low,Party C,Yes,Employed,Primary,2019-05-07
1133,34,Female,Tamil Nadu,Chennai Central,High,Party C,No,Unemployed,Secondary,2019-05-12
1134,42,Other,Kerala,Thiruvananthapuram,Low,Party C,No,Self-employed,Primary,2019-04-18
1135,20,Other,Bihar,Patna Urban,High,Party A,Yes,Student,Primary,2019-04-07
1136,51,Male,Kerala,Thiruvananthapuram,Low,Party A,No,Self-employed,Secondary,2019-04-26
1137,20,Female,Bihar,Gaya,Low,Party B,Yes,Unemployed,Postgraduate,2019-04-25
1138,75,Male,Maharashtra,Pune,Low,Party B,Yes,Unemployed,Primary,2019-04-08
1139,79,Other,Maharashtra,Nagpur,High,Party C,Yes,Unemployed,Graduate,2019-05-30
1140,21,Other,Bihar,Patna Urban,Low,Party C,Yes,Unemployed,Graduate,2019-04-08
1141,59,Male,Kerala,Kochi,Low,Party A,Yes,Self-employed,Graduate,2019-05-01
1142,62,Other,Kerala,Kochi,High,Party C,No,Student,Postgraduate,2019-04-28
1143,50,Male,Tamil Nadu,Chennai Central,Low,Party C,No,Student,Primary,2019-05-08
1144,44,Other,Maharashtra,Mumbai South,Medium,Party B,No,Student,Graduate,2019-05-23
1145,31,Other,Maharashtra,Pune,Medium,Party B,Yes,Self-employed,Graduate,2019-05-28
1146,39,Male,Bihar,Gaya,High,Party B,No,Self-employed,Graduate,2019-04-26
1147,41,Female,Bihar,Patna Urban,Medium,Party A,No,Unemployed,Primary,2019-04-14
1148,36,Female,Maharashtra,Nagpur,Low,Party A,No,Employed,Graduate,2019-04-14
1149,59,Male,Tamil Nadu,Coimbatore,High,Party A,No,Self-employed,Secondary,2019-05-04
1150,53,Other,Kerala,Kochi,High,Party C,Yes,Student,Postgraduate,2019-04-21
1151,43,Male,Maharashtra,Mumbai South,Medium,Party B,Yes,Self-employed,Postgraduate,2019-04-08
1152,39,Other,Bihar,Gaya,Medium,Party C,No,Unemployed,Primary,2019-04-19
1153,18,Female,Bihar,Muzaffarpur,Medium,Party A,No,Employed,Primary,2019-04-22
1154,78,Male,Bihar,Patna Urban,Medium,Party C,No,Self-employed,Graduate,2019-05-19
1155,28,Other,Maharashtra,Nagpur,Medium,Party B,Yes,Student,Graduate,2019-05-15
1156,33,Female,Tamil Nadu,Madurai,High,Party A,Yes,Unemployed,Primary,2019-05-23
1157,31,Female,Bihar,Patna Urban,High,Party C,No,Unemployed,Secondary,2019-04-06
1158,65,Other,Kerala,Kozhikode,Low,Party C,Yes,Self-employed,Primary,2019-04-08
1159,27,Female,Bihar,Gaya,Medium,Party C,No,Self-employed,Secondary,2019-05-30
1160,76,Male,Kerala,Kozhikode,Low,Party B,Yes,Student,Postgraduate,2019-05-13
1161,85,Male,Bihar,Muzaffarpur,High,Party B,No,Self-employed,Graduate,2019-05-20
1162,29,Female,Tamil Nadu,Chennai Central,Medium,Party C,Yes,Self-employed,Secondary,2019-05-13
1163,27,Male,Kerala,Kozhikode,Medium,Party A,Yes,Employed,Secondary,2019-04-30
1164,80,Male,Tamil Nadu,Chennai Central,Medium,Party A,No,Self-employed,Postgraduate,2019-05-12
1165,31,Male,Kerala,Kozhikode,Low,Party B,No,Student,Secondary,2019-05-20
1166,26,Female,Tamil Nadu,Chennai Central,Medium,Party A,No,Employed,Secondary,2019-04-30
1167,32,Male,Bihar,Muzaffarpur,Low,Party B,Yes,Self-employed,Primary,2019-05-01
1168,51,Male,Tamil Nadu,Madurai,High,Party A,No,Student,Secondary,2019-04-10
1169,73,Other,Tamil Nadu,Coimbatore,Medium,Party A,No,Self-employed,Graduate,2019-04-07
1170,66,Other,Bihar,Muzaffarpur,Medium,Party A,No,Unemployed,Postgraduate,2019-04-12
1171,81,Other,Maharashtra,Pune,Medium,Party A,Yes,Unemployed,Primary,2019-04-15
1172,22,Other,Bihar,Patna Urban,Medium,Party A,Yes,Employed,Graduate,2019-04-15
1173,68,Male,Tamil Nadu,Madurai,Low,Party C,No,Student,Secondary,2019-04-11
1174,54,Other,Kerala,Thiruvananthapuram,High,Party B,Yes,Employed,Secondary,2019-05-03
1175,57,Other,Tamil Nadu,Coimbatore,Low,Party A,No,Employed,Secondary,2019-04-12
1176,36,Male,Maharashtra,Nagpur,High,Party B,No,Self-employed,Primary,2019-04-12
1177,39,Other,Maharashtra,Mumbai South,Low,Party C,No,Student,Primary,2019-05-02
1178,32,Male,Kerala,Thiruvananthapuram,Low,Party C,No,Unemployed,Secondary,2019-05-19
1179,30,Female,Kerala,Kochi,High,Party B,No,Student,Graduate,2019-05-05
1180,80,Female,Maharashtra,Pune,Medium,Party B,Yes,Self-employed,Graduate,2019-05-16
1181,79,Male,Maharashtra,Pune,Medium,Party C,Yes,Unemployed,Postgraduate,2019-05-25
1182,36,Female,Kerala,Kozhikode,Medium,Party A,Yes,Student,Graduate,2019-04-14
1183,66,Other,Bihar,Patna Urban,Low,Party B,No,Unemployed,Graduate,2019-05-29
1184,68,Other,Maharashtra,Nagpur,Medium,Party B,No,Unemployed,Primary,2019-05-08
1185,33,Female,Maharashtra,Pune,Medium,Party C,No,Self-employed,Primary,2019-04-01
1186,36,Female,Tamil Nadu,Coimbatore,High,Party A,No,Unemployed,Graduate,2019-05-02
1187,55,Male,Maharashtra,Mumbai South,Medium,Party A,Yes,Self-employed,Primary,2019-04-04
1188,18,Female,Tamil Nadu,Madurai,Medium,Party C,Yes,Employed,Graduate,2019-04-09
1189,82,Other,Maharashtra,Nagpur,High,Party A,Yes,Self-employed,Secondary,2019-05-17
1190,28,Female,Kerala,Thiruvananthapuram,Low,Party A,No,Self-employed,Secondary,2019-05-22
1191,69,Male,Tamil Nadu,Madurai,Medium,Party B,No,Unemployed,Postgraduate,2019-05-14
1192,35,Other,Maharashtra,Pune,Low,Party B,Yes,Student,Secondary,2019-04-20
1193,56,Other,Maharashtra,Mumbai South,High,Party B,Yes,Student,Postgraduate,2019-04-07
1194,74,Other,Kerala,Kozhikode,Medium,Party C,No,Student,Graduate,2019-04-28
1195,70,Female,Tamil Nadu,Madurai,Low,Party C,Yes,Student,Primary,2019-05-19
1196,56,Male,Kerala,Kozhikode,High,Party C,No,Unemployed,Graduate,2019-04-04
1197,69,Other,Tamil Nadu,Chennai Central,Low,Party B,No,Employed,Primary,2019-04-04
1198,31,Female,Maharashtra,Pune,High,Party A,No,Student,Graduate,2019-05-26
1199,83,Other,Bihar,Patna Urban,High,Party A,Yes,Unemployed,Postgraduate,2019-04-09
1200,37,Female,Kerala,Kozhikode,High,Party B,Yes,Student,Secondary,2019-04-08
1201,37,Other,Bihar,Patna Urban,Low,Party C,Yes,Unemployed,Secondary,2019-04-07
1202,82,Female,Tamil Nadu,Chennai Central,Medium,Party A,Yes,Self-employed,Postgraduate,2019-05-01
1203,51,Other,Kerala,Kochi,High,Party B,Yes,Student,Secondary,2019-05-11
1204,36,Other,Bihar,Patna Urban,High,Party A,Yes,Unemployed,Postgraduate,2019-05-01
1205,30,Other,Maharashtra,Nagpur,Medium,Party B,No,Student,Postgraduate,2019-05-15
1206,71,Female,Bihar,Gaya,Low,Party A,No,Student,Primary,2019-05-07
1207,56,Male,Tamil Nadu,Chennai Central,High,Party C,No,Employed,Graduate,2019-04-09
1208,76,Female,Tamil Nadu,Coimbatore,Low,Party A,No,Unemployed,Graduate,2019-05-28
1209,26,Male,Tamil Nadu,Coimbatore,High,Party A,No,Self-employed,Postgraduate,2019-05-16
1210,56,Female,Kerala,Thiruvananthapuram,Low,Party C,No,Student,Postgraduate,2019-05-09
1211,82,Other,Kerala,Kozhikode,High,Party B,Yes,Self-employed,Graduate,2019-05-08
1212,23,Male,Tamil Nadu,Chennai Central,High,Party A,Yes,Employed,Primary,2019-05-02
1213,47,Other,Tamil Nadu,Madurai,Low,Party A,Yes,Student,Postgraduate,2019-05-30
1214,50,Male,Bihar,Patna Urban,Low,Party C,Yes,Student,Graduate,2019-05-09
1215,59,Male,Bihar,Patna Urban,High,Party B,No,Unemployed,Secondary,2019-04-13
1216,74,Other,Maharashtra,Nagpur,Medium,Party A,Yes,Unemployed,Postgraduate,2019-05-23
1217,21,Other,Kerala,Kochi,High,Party A,Yes,Employed,Secondary,2019-05-28
1218,70,Other,Bihar,Gaya,High,Party A,No,Unemployed,Postgraduate,2019-04-13
1219,78,Other,Kerala,Kozhikode,Medium,Party B,Yes,Employed,Postgraduate,2019-04-28
1220,28,Male,Tamil Nadu,Chennai Central,High,Party B,Yes,Employed,Postgraduate,2019-04-15
1221,60,Male,Bihar,Muzaffarpur,Low,Party B,No,Student,Graduate,2019-04-05
1222,27,Other,Kerala,Thiruvananthapuram,High,Party A,No,Student,Primary,2019-05-05
1223,78,Female,Bihar,Muzaffarpur,High,Party A,Yes,Self-employed,Postgraduate,2019-04-17
1224,25,Male,Kerala,Thiruvananthapuram,Low,Party C,No,Employed,Secondary,2019-05-02
1225,22,Female,Bihar,Muzaffarpur,Low,Party B,Yes,Student,Secondary,2019-04-18
1226,22,Female,Bihar,Patna Urban,High,Party A,No,Student,Postgraduate,2019-04-20
1227,25,Male,Kerala,Kochi,Low,Party C,No,Employed,Postgraduate,2019-04-04
1228,34,Female,Tamil Nadu,Madurai,High,Party B,Yes,Employed,Postgraduate,2019-04-08
1229,42,Female,Maharashtra,Nagpur,Medium,Party A,Yes,Unemployed,Primary,2019-05-08
1230,70,Other,Bihar,Patna Urban,High,Party C,Yes,Employed,Secondary,2019-05-23
1231,25,Male,Bihar,Patna Urban,Medium,Party A,No,Employed,Graduate,2019-04-23
1232,34,Other,Kerala,Thiruvananthapuram,Medium,Party B,Yes,Employed,Primary,2019-04-17
1233,63,Male,Kerala,Thiruvananthapuram,Medium,Party C,No,Self-employed,Graduate,2019-05-26
1234,52,Female,Kerala,Kozhikode,High,Party C,Yes,Employed,Graduate,2019-05-28
1235,80,Female,Tamil Nadu,Coimbatore,Low,Party A,Yes,Unemployed,Graduate,2019-05-18
1236,65,Other,Kerala,Kochi,Low,Party A,Yes,Student,Postgraduate,2019-05-31
1237,81,Male,Bihar,Patna Urban,Medium,Party B,No,Self-employed,Primary,2019-04-04
1238,67,Female,Maharashtra,Pune,Low,Party B,No,Student,Primary,2019-04-15
1239,41,Other,Kerala,Thiruvananthapuram,Medium,Party C,Yes,Self-employed,Primary,2019-05-05
1240,61,Female,Maharashtra,Mumbai South,High,Party A,Yes,Self-employed,Postgraduate,2019-05-26
1241,25,Male,Tamil Nadu,Coimbatore,High,Party B,No,Student,Postgraduate,2019-05-07
1242,66,Female,Maharashtra,Mumbai South,High,Party A,Yes,Employed,Graduate,2019-05-22
1243,49,Other,Maharashtra,Mumbai South,Medium,Party B,No,Employed,Graduate,2019-04-24
1244,50,Other,Maharashtra,Pune,High,Party A,Yes,Self-employed,Graduate,2019-05-24
1245,74,Female,Maharashtra,Mumbai South,Low,Party B,Yes,Student,Primary,2019-04-23
1246,45,Female,Tamil Nadu,Coimbatore,Low,Party C,Yes,Self-employed,Graduate,2019-04-05
1247,51,Female,Tamil Nadu,Chennai Central,Medium,Party B,Yes,Unemployed,Secondary,2019-04-10
1248,32,Other,Bihar,Patna Urban,Low,Party A,No,Self-employed,Primary,2019-05-06
1249,51,Female,Kerala,Kochi,Low,Party C,No,Employed,Secondary,2019-04-23
1250,82,Female,Bihar,Patna Urban,Low,Party C,Yes,Unemployed,Secondary,2019-04-21
1251,71,Male,Maharashtra,Pune,High,Party B,No,Unemployed,Primary,2019-04-21
1252,70,Other,Maharashtra,Nagpur,Medium,Party B,No,Employed,Secondary,2019-04-24
1253,37,Other,Bihar,Gaya,Low,Party A,Yes,Self-employed,Graduate,2019-05-31
1254,22,Other,Kerala,Thiruvananthapuram,High,Party A,No,Employed,Primary,2019-05-30
1255,82,Other,Kerala,Kozhikode,High,Party C,No,Employed,Primary,2019-05-09
1256,85,Other,Tamil Nadu,Coimbatore,Medium,Party B,No,Unemployed,Graduate,2019-05-29
1257,49,Female,Kerala,Thiruvananthapuram,Low,Party B,No,Employed,Secondary,2019-04-29
1258,28,Female,Tamil Nadu,Madurai,High,Party C,Yes,Self-employed,Postgraduate,2019-05-09
1259,71,Male,Kerala,Thiruvananthapuram,High,Party A,Yes,Student,Secondary,2019-05-09
1260,61,Female,Maharashtra,Nagpur,Low,Party A,No,Student,Secondary,2019-05-07
1261,43,Male,Tamil Nadu,Coimbatore,Medium,Party A,Yes,Employed,Postgraduate,2019-04-17
1262,30,Male,Tamil Nadu,Coimbatore,Low,Party B,Yes,Unemployed,Primary,2019-04-09
1263,63,Male,Tamil Nadu,Madurai,Medium,Party C,Yes,Self-employed,Primary,2019-04-22
1264,31,Other,Maharashtra,Pune,Low,Party A,No,Student,Postgraduate,2019-05-11
1265,73,Female,Tamil Nadu,Coimbatore,Medium,Party C,Yes,Unemployed,Primary,2019-04-10
1266,65,Other,Bihar,Muzaffarpur,High,Party B,No,Self-employed,Postgraduate,2019-04-12
1267,47,Female,Maharashtra,Mumbai South,Medium,Party B,Yes,Student,Graduate,2019-04-21
1268,40,Male,Tamil Nadu,Madurai,Low,Party C,Yes,Student,Graduate,2019-05-07
1269,62,Female,Maharashtra,Mumbai South,Low,Party A,No,Self-employed,Postgraduate,2019-04-29
1270,54,Female,Kerala,Kochi,High,Party A,Yes,Self-employed,Secondary,2019-04-07
1271,83,Male,Kerala,Kozhikode,Low,Party C,Yes,Unemployed,Primary,2019-05-02
1272,44,Female,Bihar,Gaya,High,Party B,No,Unemployed,Postgraduate,2019-04-19
1273,33,Female,Bihar,Muzaffarpur,Medium,Party B,No,Employed,Secondary,2019-04-18
1274,28,Other,Bihar,Gaya,Low,Party C,Yes,Self-employed,Secondary,2019-05-03
1275,76,Other,Maharashtra,Nagpur,High,Party C,Yes,Self-employed,Primary,2019-04-28
1276,84,Female,Bihar,Muzaffarpur,Low,Party C,Yes,Employed,Secondary,2019-04-09
1277,43,Female,Tamil Nadu,Chennai Central,Medium,Party A,No,Unemployed,Postgraduate,2019-04-19
1278,29,Other,Kerala,Kochi,High,Party C,Yes,Employed,Postgraduate,2019-04-05
1279,44,Other,Tamil Nadu,Coimbatore,Low,Party A,No,Self-employed,Postgraduate,2019-05-11
1280,62,Female,Kerala,Kozhikode,High,Party C,Yes,Self-employed,Secondary,2019-05-27
1281,80,Female,Maharashtra,Pune,High,Party B,No,Student,Graduate,2019-04-07
1282,54,Female,Kerala,Kochi,Medium,Party B,Yes,Student,Primary,2019-04-12
1283,32,Female,Tamil Nadu,Madurai,High,Party B,Yes,Student,Postgraduate,2019-05-09
1284,48,Male,Tamil Nadu,Coimbatore,Medium,Party B,Yes,Student,Primary,2019-05-06
1285,58,Female,Maharashtra,Nagpur,Medium,Party B,No,Student,Graduate,2019-05-29
1286,80,Other,Bihar,Gaya,Low,Party B,Yes,Self-employed,Postgraduate,2019-04-27
1287,39,Other,Kerala,Kozhikode,Low,Party C,Yes,Self-employed,Secondary,2019-05-09
